M5 Raw CSV Pipeline Run — 2026-03-22T21:51:24.848918
============================================================
Running data cleaning pipeline...
  Cleaned calendar: 1,969 rows
  Cleaned sales: 3,049 rows
  Cleaned prices: 6,841,121 rows

Step 1: Loaded 4,702,895 records, 3049 SKUs
  Date range: 2011-01-29 → 2016-04-24

Step 2: Feature engineering → 4,702,895 records, 14 features

Step 3: Trained 3049/3049 models
  CA_1_FOODS_1_202: MAE=1.43, RMSE=1.94, R²=0.035
  CA_1_FOODS_1_203: MAE=1.04, RMSE=1.70, R²=0.000
  CA_1_FOODS_1_204: MAE=1.86, RMSE=2.82, R²=0.086
  CA_1_FOODS_1_205: MAE=0.60, RMSE=0.76, R²=0.068
  CA_1_FOODS_1_206: MAE=1.90, RMSE=2.37, R²=0.028
  CA_1_FOODS_1_207: MAE=1.22, RMSE=1.64, R²=0.015
  CA_1_FOODS_1_208: MAE=1.31, RMSE=1.55, R²=-0.125
  CA_1_FOODS_1_209: MAE=0.60, RMSE=0.92, R²=0.176
  CA_1_FOODS_1_210: MAE=1.35, RMSE=1.61, R²=-0.493
  CA_1_FOODS_1_211: MAE=0.35, RMSE=0.62, R²=-0.022
  CA_1_FOODS_1_212: MAE=0.46, RMSE=0.71, R²=-0.083
  CA_1_FOODS_1_213: MAE=0.80, RMSE=1.09, R²=-0.007
  CA_1_FOODS_1_214: MAE=0.85, RMSE=1.13, R²=0.020
  CA_1_FOODS_1_215: MAE=1.50, RMSE=2.01, R²=-0.039
  CA_1_FOODS_1_216: MAE=0.76, RMSE=0.96, R²=0.054
  CA_1_FOODS_1_217: MAE=1.85, RMSE=2.60, R²=0.208
  CA_1_FOODS_1_218: MAE=4.51, RMSE=5.72, R²=0.125
  CA_1_FOODS_1_219: MAE=1.42, RMSE=1.98, R²=0.457
  CA_1_FOODS_2_001: MAE=0.87, RMSE=1.16, R²=-0.004
  CA_1_FOODS_2_002: MAE=1.31, RMSE=1.52, R²=-0.177
  CA_1_FOODS_2_003: MAE=0.56, RMSE=0.83, R²=-0.152
  CA_1_FOODS_2_004: MAE=1.06, RMSE=1.37, R²=0.015
  CA_1_FOODS_2_005: MAE=0.24, RMSE=0.33, R²=-0.731
  CA_1_FOODS_2_006: MAE=0.44, RMSE=0.66, R²=-0.025
  CA_1_FOODS_2_007: MAE=0.83, RMSE=1.61, R²=-0.009
  CA_1_FOODS_2_008: MAE=0.81, RMSE=1.00, R²=-0.068
  CA_1_FOODS_2_009: MAE=1.10, RMSE=1.35, R²=-0.049
  CA_1_FOODS_2_010: MAE=0.77, RMSE=1.01, R²=0.001
  CA_1_FOODS_2_011: MAE=0.69, RMSE=0.96, R²=0.102
  CA_1_FOODS_2_012: MAE=0.89, RMSE=1.17, R²=0.021
  CA_1_FOODS_2_013: MAE=1.97, RMSE=2.48, R²=0.062
  CA_1_FOODS_2_014: MAE=1.47, RMSE=2.00, R²=0.040
  CA_1_FOODS_2_015: MAE=0.93, RMSE=1.31, R²=0.014
  CA_1_FOODS_2_016: MAE=3.48, RMSE=4.72, R²=0.173
  CA_1_FOODS_2_017: MAE=0.57, RMSE=0.64, R²=-0.026
  CA_1_FOODS_2_018: MAE=0.71, RMSE=0.97, R²=-0.001
  CA_1_FOODS_2_019: MAE=4.79, RMSE=6.09, R²=0.198
  CA_1_FOODS_2_020: MAE=0.68, RMSE=0.89, R²=-0.098
  CA_1_FOODS_2_021: MAE=3.10, RMSE=4.06, R²=0.046
  CA_1_FOODS_2_022: MAE=1.08, RMSE=1.49, R²=-0.057
  CA_1_FOODS_2_023: MAE=0.71, RMSE=1.25, R²=0.077
  CA_1_FOODS_2_024: MAE=1.09, RMSE=1.40, R²=0.126
  CA_1_FOODS_2_025: MAE=0.69, RMSE=0.83, R²=-0.038
  CA_1_FOODS_2_026: MAE=1.17, RMSE=1.43, R²=-0.026
  CA_1_FOODS_2_027: MAE=1.24, RMSE=1.95, R²=0.073
  CA_1_FOODS_2_028: MAE=0.61, RMSE=0.76, R²=-0.032
  CA_1_FOODS_2_029: MAE=1.54, RMSE=2.40, R²=0.573
  CA_1_FOODS_2_030: MAE=1.59, RMSE=2.08, R²=0.069
  CA_1_FOODS_2_031: MAE=0.68, RMSE=1.16, R²=0.256
  CA_1_FOODS_2_032: MAE=0.38, RMSE=0.62, R²=0.279
  CA_1_FOODS_2_033: MAE=1.73, RMSE=2.17, R²=0.076
  CA_1_FOODS_2_034: MAE=1.09, RMSE=1.62, R²=0.073
  CA_1_FOODS_2_035: MAE=1.24, RMSE=1.52, R²=-0.310
  CA_1_FOODS_2_036: MAE=1.89, RMSE=2.39, R²=0.088
  CA_1_FOODS_2_037: MAE=0.57, RMSE=0.71, R²=-0.003
  CA_1_FOODS_2_038: MAE=0.75, RMSE=0.94, R²=0.034
  CA_1_FOODS_2_039: MAE=0.49, RMSE=0.64, R²=0.009
  CA_1_FOODS_2_040: MAE=0.63, RMSE=0.79, R²=-0.037
  CA_1_FOODS_2_041: MAE=0.51, RMSE=0.71, R²=0.080
  CA_1_FOODS_2_042: MAE=0.68, RMSE=1.01, R²=0.270
  CA_1_FOODS_2_043: MAE=0.88, RMSE=1.15, R²=0.072
  CA_1_FOODS_2_044: MAE=0.96, RMSE=1.26, R²=0.009
  CA_1_FOODS_2_045: MAE=0.94, RMSE=1.24, R²=-0.009
  CA_1_FOODS_2_046: MAE=0.54, RMSE=0.73, R²=-0.022
  CA_1_FOODS_2_047: MAE=1.35, RMSE=1.69, R²=0.074
  CA_1_FOODS_2_048: MAE=0.39, RMSE=0.62, R²=-0.022
  CA_1_FOODS_2_049: MAE=0.79, RMSE=1.10, R²=0.008
  CA_1_FOODS_2_050: MAE=1.74, RMSE=2.38, R²=-0.050
  CA_1_FOODS_2_051: MAE=1.23, RMSE=1.70, R²=0.105
  CA_1_FOODS_2_052: MAE=1.24, RMSE=1.59, R²=0.349
  CA_1_FOODS_2_053: MAE=0.63, RMSE=0.72, R²=-0.011
  CA_1_FOODS_2_054: MAE=2.10, RMSE=2.57, R²=0.009
  CA_1_FOODS_2_055: MAE=1.07, RMSE=1.46, R²=-0.015
  CA_1_FOODS_2_056: MAE=1.18, RMSE=1.49, R²=0.044
  CA_1_FOODS_2_057: MAE=0.46, RMSE=0.62, R²=-0.000
  CA_1_FOODS_2_058: MAE=0.67, RMSE=0.82, R²=-0.001
  CA_1_FOODS_2_059: MAE=1.02, RMSE=1.29, R²=0.148
  CA_1_FOODS_2_060: MAE=1.08, RMSE=1.32, R²=0.001
  CA_1_FOODS_2_061: MAE=1.59, RMSE=2.00, R²=0.048
  CA_1_FOODS_2_062: MAE=0.74, RMSE=0.98, R²=-0.007
  CA_1_FOODS_2_063: MAE=1.33, RMSE=1.70, R²=0.196
  CA_1_FOODS_2_064: MAE=0.55, RMSE=0.75, R²=0.013
